timeOpen;timeClose;timeHigh;timeLow;open;high;low;close;volume;marketCap;timestamp
"2023-08-19T00:00:00.000Z";"2023-08-19T23:59:59.999Z";"2023-08-19T16:52:00.000Z";"2023-08-19T07:04:00.000Z";1.9665760342;1.9896525288;1.9426417427;1.9696021629;29025556.93;307762498.28;"2023-08-19T23:59:59.999Z"
"2023-08-18T00:00:00.000Z";"2023-08-18T23:59:59.999Z";"2023-08-18T21:26:00.000Z";"2023-08-18T00:04:00.000Z";1.8892804228;1.980528686;1.8831054723;1.9666002823;50995947.63;307293435.9;"2023-08-18T23:59:59.999Z"
"2023-08-17T00:00:00.000Z";"2023-08-17T23:59:59.999Z";"2023-08-17T06:01:00.000Z";"2023-08-17T21:46:00.000Z";1.997047999;2.0323601081;1.7360024078;1.8890650552;56133870.94;295178077.96;"2023-08-17T23:59:59.999Z"
"2023-08-16T00:00:00.000Z";"2023-08-16T23:59:59.999Z";"2023-08-16T00:25:00.000Z";"2023-08-16T21:16:00.000Z";2.1455636619;2.1750192987;1.9645920959;1.9970761204;52066898.87;312055473.76;"2023-08-16T23:59:59.999Z"
"2023-08-15T00:00:00.000Z";"2023-08-15T23:59:59.999Z";"2023-08-15T00:01:00.000Z";"2023-08-15T21:10:00.000Z";2.1874143526;2.1884770475;2.1147344855;2.145419119;44929423.56;335234983.17;"2023-08-15T23:59:59.999Z"
"2023-08-14T00:00:00.000Z";"2023-08-14T23:59:59.999Z";"2023-08-14T05:04:00.000Z";"2023-08-14T20:05:00.000Z";2.2118389978;2.2631379262;2.1772724791;2.1874088297;44770873.63;341796134.71;"2023-08-14T23:59:59.999Z"
"2023-08-13T00:00:00.000Z";"2023-08-13T23:59:59.999Z";"2023-08-13T02:35:00.000Z";"2023-08-13T11:04:00.000Z";2.2271279679;2.2383677199;2.1788295686;2.2118351929;42139107.41;345612904.76;"2023-08-13T23:59:59.999Z"
"2023-08-12T00:00:00.000Z";"2023-08-12T23:59:59.999Z";"2023-08-12T22:20:00.000Z";"2023-08-12T14:15:00.000Z";2.1658571659;2.2403262506;2.1587456708;2.2268365065;40683964.14;347956952.63;"2023-08-12T23:59:59.999Z"
"2023-08-11T00:00:00.000Z";"2023-08-11T23:59:59.999Z";"2023-08-11T00:31:00.000Z";"2023-08-11T20:00:00.000Z";2.1899108114;2.2044539427;2.1326610517;2.1658324461;41876649.02;338424691.56;"2023-08-11T23:59:59.999Z"
"2023-08-10T00:00:00.000Z";"2023-08-10T23:59:59.999Z";"2023-08-10T15:31:00.000Z";"2023-08-10T06:50:00.000Z";2.1286110595;2.1981345409;2.1161301756;2.189313777;73357409.74;342093794.49;"2023-08-10T23:59:59.999Z"
"2023-08-09T00:00:00.000Z";"2023-08-09T23:59:59.999Z";"2023-08-09T23:53:00.000Z";"2023-08-09T03:05:00.000Z";2.0856780974;2.1300198368;2.0760283365;2.1284508375;44446658.97;332583584.41;"2023-08-09T23:59:59.999Z"
"2023-08-08T00:00:00.000Z";"2023-08-08T23:59:59.999Z";"2023-08-08T18:29:00.000Z";"2023-08-08T00:40:00.000Z";2.0565167882;2.1048567854;2.0509094791;2.0857925729;41199445.28;325917967.21;"2023-08-08T23:59:59.999Z"
"2023-08-07T00:00:00.000Z";"2023-08-07T23:59:59.999Z";"2023-08-07T01:32:00.000Z";"2023-08-07T16:20:00.000Z";2.0365149769;2.0717878615;1.9887827663;2.0565743279;40758456.84;321352436.03;"2023-08-07T23:59:59.999Z"
"2023-08-06T00:00:00.000Z";"2023-08-06T23:59:59.999Z";"2023-08-06T02:40:00.000Z";"2023-08-06T13:43:00.000Z";2.0607673207;2.0777760273;2.0311275407;2.03627942;36412281.62;318181231.36;"2023-08-06T23:59:59.999Z"
"2023-08-05T00:00:00.000Z";"2023-08-05T23:59:59.999Z";"2023-08-05T14:55:00.000Z";"2023-08-05T00:22:00.000Z";1.9668853035;2.0864438438;1.9652813836;2.0607527102;69034950.3;322005334.07;"2023-08-05T23:59:59.999Z"
"2023-08-04T00:00:00.000Z";"2023-08-04T23:59:59.999Z";"2023-08-04T16:30:00.000Z";"2023-08-04T00:10:00.000Z";1.9101651136;1.9805587922;1.9053904536;1.9669147771;43617730.65;307342577.66;"2023-08-04T23:59:59.999Z"
"2023-08-03T00:00:00.000Z";"2023-08-03T23:59:59.999Z";"2023-08-03T02:07:00.000Z";"2023-08-03T22:34:00.000Z";1.9700931021;1.9907451471;1.897430045;1.9100096765;43524354.02;298450804.35;"2023-08-03T23:59:59.999Z"
"2023-08-02T00:00:00.000Z";"2023-08-02T23:59:59.999Z";"2023-08-02T01:35:00.000Z";"2023-08-02T19:13:00.000Z";2.030406727;2.0420598529;1.9607176645;1.9701514386;54540517.92;307848325.99;"2023-08-02T23:59:59.999Z"
"2023-08-01T00:00:00.000Z";"2023-08-01T23:59:59.999Z";"2023-08-01T00:36:00.000Z";"2023-08-01T15:19:00.000Z";2.1255171024;2.1326061212;1.9761928945;2.0304605076;74980118.97;317271990.38;"2023-08-01T23:59:59.999Z"
"2023-07-31T00:00:00.000Z";"2023-07-31T23:59:59.999Z";"2023-07-31T18:04:00.000Z";"2023-07-31T04:40:00.000Z";2.0504896691;2.1601746934;2.017427425;2.1258832084;74544453.4;332182376.53;"2023-07-31T23:59:59.999Z"
"2023-07-30T00:00:00.000Z";"2023-07-30T23:59:59.999Z";"2023-07-30T05:25:00.000Z";"2023-07-30T20:14:00.000Z";2.0807701909;2.0995127293;1.991185111;2.0506473237;36883201.87;320426305.03;"2023-07-30T23:59:59.999Z"
"2023-07-29T00:00:00.000Z";"2023-07-29T23:59:59.999Z";"2023-07-29T20:28:00.000Z";"2023-07-29T00:07:00.000Z";2.0634570713;2.1017251921;2.0579588638;2.0807143272;27731723.18;325124459.96;"2023-07-29T23:59:59.999Z"
"2023-07-28T00:00:00.000Z";"2023-07-28T23:59:59.999Z";"2023-07-28T23:59:00.000Z";"2023-07-28T08:11:00.000Z";2.0509169845;2.063565047;2.018393466;2.063565047;31763213.25;322444779.05;"2023-07-28T23:59:59.999Z"
"2023-07-27T00:00:00.000Z";"2023-07-27T23:59:59.999Z";"2023-07-27T10:16:00.000Z";"2023-07-27T18:43:00.000Z";2.068773375;2.1089268436;2.0308072397;2.0509980736;41845422.58;320481111.86;"2023-07-27T23:59:59.999Z"
